bulan,kecamatan,kelurahan,kk_terdampak,tahun,min_ketinggian,max_ketinggian,avg_ketinggian
1,4,5,0.0,2017,10,70,40.0
2,31,67,6967.0,2017,10,250,130.0
3,20,40,3232.0,2017,0,160,80.0
4,19,33,621.0,2017,10,200,105.0
5,15,25,1056.0,2017,5,120,62.5
6,4,5,1409.0,2017,10,110,60.0
7,6,8,251.0,2017,10,80,45.0
8,5,6,0.0,2017,10,80,45.0
9,1,1,0.0,2017,10,80,45.0
10,8,11,15.0,2017,10,105,57.5
11,17,37,1935.0,2017,10,150,80.0
12,19,26,131.0,2017,10,70,40.0
1,5,8,0.0,2018,5,40,22.5
2,24,43,5467.0,2018,5,300,152.5
3,6,8,303.0,2018,10,100,55.0
4,6,8,300.0,2018,5,90,47.5
5,8,17,214.0,2018,10,150,80.0
6,5,8,328.0,2018,10,100,55.0
7,0,0,0.0,2018,0,0,0.0
8,0,0,0.0,2018,0,0,0.0
9,0,0,0.0,2018,0,0,0.0
10,4,5,387.0,2018,10,80,45.0
11,11,16,1848.0,2018,5,100,52.5
12,14,22,244.0,2018,3,100,51.5
1,14,31,135.0,2019,10,70,40.0
2,15,25,398.0,2019,10,135,72.5
3,23,43,315.0,2019,10,100,55.0
4,17,34,2915.0,2019,10,250,130.0
5,5,7,150.0,2019,10,100,55.0
6,0,0,0.0,2019,0,0,0.0
7,0,0,0.0,2019,0,0,0.0
8,0,0,0.0,2019,0,0,0.0
9,0,0,0.0,2019,0,0,0.0
10,5,7,391.0,2019,10,100,55.0
11,0,0,0.0,2019,0,0,0.0
12,11,20,316.0,2019,15,100,57.5
1,35,151,22148.0,2020,10,350,180.0
2,42,167,12551.0,2020,5,200,102.5
3,24,46,3057.0,2020,5,160,82.5
4,21,50,1059.0,2020,10,130,70.0
5,12,23,891.0,2020,10,200,105.0
6,9,16,80.0,2020,5,120,62.5
7,2,2,0.0,2020,20,50,35.0
8,10,12,0.0,2020,10,80,45.0
9,16,28,414.0,2020,10,130,70.0
10,29,72,1933.0,2020,10,180,95.0
11,16,27,0.0,2020,10,60,35.0
12,7,9,250.0,2020,10,80,45.0
